LCSC,Manufacturer,Mpn,Description
C3975137,HCTL,PM127-2-11-S-4.3,"-40℃~+105℃ 1.27mm 1.27mm 1A 2 22P 2x11P 4.3mm Phosphor bronze Square Hole Surface Mount,Vertical Top SMD,P=1.27mm Female Headers ROHS"
C3975185,HCTL,PZ127-2-02-S,Pin Header 4 Position 1.27mm Pitch Dual Row Surface Mount -40℃~+105℃
C2932107,Samtec,FTSH-105-01-L-DV-K-P-TR,"Pin Header 2 3.05mm -55℃~+125℃ 10P 1.27mm 1.27mm 2x5P SMD,P=1.27mm Headers, Male Pins RoHS"
C3910547,Taiyo Yuden,MCHK1608T2R2MKN,1.2A 2.2uH 1.5A 292mΩ Multilayer inductor ±20% 0603 Fixed Inductors RoHS
C435392,muRata,DFE252012F-1R0M=P2,3.3A 1uH 4.7A 40mΩ ±20% 1008 Fixed Inductors RoHS
C25744,UNI-ROYAL(Uniroyal Elec),0402WGF1002TCE,-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25105,UNI-ROYAL(Uniroyal Elec),0402WGF330JTCE,-55℃~+155℃ 33Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25900,UNI-ROYAL(Uniroyal Elec),0402WGF4701TCE,-55℃~+155℃ 4.7kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25905,UNI-ROYAL(Uniroyal Elec),0402WGF5101TCE,-55℃~+155℃ 5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25118,UNI-ROYAL(Uniroyal Elec),0402WGF470JTCE,-55℃~+155℃ 47Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C17168,UNI-ROYAL(Uniroyal Elec),0402WGF0000TCE,-55℃~+155℃ 0Ω 50V 62.5mW Thick Film Resistor ±1% ±800ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25104,UNI-ROYAL(Uniroyal Elec),0402WGF3300TCE,-55℃~+155℃ 330Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25741,UNI-ROYAL(Uniroyal Elec),0402WGF1003TCE,-55℃~+155℃ 100kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C27009,UNI-ROYAL(Uniroyal Elec),0402WGF4533TCE,-55℃~+155℃ 453kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25076,UNI-ROYAL(Uniroyal Elec),0402WGF1000TCE,-55℃~+155℃ 100Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
