"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotation","Value","Origin X (mm)","Origin Y (mm)","Part Number (LCSC)","Part Number (Digi-Key)","Part Number (Mouser)","MP","Package"
"E2","MDD_SMA_DO214AC_SMAJ5.0A","DIOM510X266X229L115X145N","54.25","20.55","Top","180.01","5Vrwm 'AE'","54.25","20.55","C113952","","","",""
"E3","MDD_SMA_DO214AC_SMAJ5.0A","DIOM510X266X229L115X145N","39.7","20.55","Top","180.0","5Vrwm 'AE'","39.7","20.55","C113952","","","",""
"E4","MDD_SMA_DO214AC_SMAJ24A","DIOM510X266X229L115X145N","24.05","27.4","Top","180.0","24Vrwm 'BZ'","24.05","27.4","C113962","","","",""
"E5","MDD_SMA_DO214AC_SMAJ48A","DIOM510X266X229L115X145N","33.4","48.1","Top","90.0","48Vrwm 'CX'","33.4","48.1","C173502","","","",""
"E6","MDD_SMA_DO214AC_SMAJ48A","DIOM510X266X229L115X145N","33.4","73.1","Top","90.0","48Vrwm 'CX'","33.4","73.1","C173502","","","",""
"E7","SMCJ6.0A-E3/57T","DIOM794X590X262L114X305N","204.9","21.8","Top","180.0","SMCJ6.0","204.9","21.8","C1976142","","","",""
"E8","MDD_SMA_DO214AC_SMAJ12A","DIOM510X266X229L115X145N","46.9","48.85","Top","90.0","12Vrwm 'BE'","46.9","48.85","C113957","","","",""
"E9","MDD_SMA_DO214AC_SMAJ12A","DIOM510X266X229L115X145N","46.9","73.85","Top","90.0","12Vrwm 'BE'","46.9","73.85","C113957","","","",""
"E10","MDD_SMA_DO214AC_SMAJ5.0A","DIOM510X266X229L115X145N","51.85","50.6","Top","180.0","5Vrwm 'AE'","51.85","50.6","C113952","","","",""
"E11","MDD_SMA_DO214AC_SMAJ5.0A","DIOM510X266X229L115X145N","51.85","75.6","Top","180.0","5Vrwm 'AE'","51.85","75.6","C113952","","","",""
"E12","PESD5V0S2BT,215","SOT23-3P95_230X110L30X43N","164.5","88.5","Top","180.0","","164.5","88.5","C49338","1727-3840-6-ND","","",""
"E13","PESD5V0S2BT,215","SOT23-3P95_230X110L30X43N","172","88.5","Top","180.0","","172","88.5","C49338","1727-3840-6-ND","","",""
"E14","PESD5V0S2BT,215","SOT23-3P95_230X110L30X43N","183.25","88.5","Top","180.0","","183.25","88.5","C49338","1727-3840-6-ND","","",""
"E15","PESD5V0S2BT,215","SOT23-3P95_230X110L30X43N","190.75","88.5","Top","180.0","","190.75","88.5","C49338","1727-3840-6-ND","","",""
"F1","RXEF110","FUSRB508W52L1280T300H1750","102.75","26.8","Top","90.0","XF110","102.75","26.8","C3760872","","","",""
"F2","RXEF110","FUSRB508W52L1280T300H1750","91.75","26.8","Top","90.0","XF110","91.75","26.8","C3760872","","","",""
"F3","RXEF110","FUSRB508W52L1280T300H1750","85.9","31.05","Top","90.01","XF110","85.9","31.05","C3760872","","","",""
"F4","RXEF110","FUSRB508W52L1280T300H1750","81.9","31.05","Top","90.01","XF110","81.9","31.05","C3760872","","","",""
"F5","RXEF110","FUSRB508W52L1280T300H1750","77.9","31.05","Top","90.01","XF110","77.9","31.05","C3760872","","","",""
"F6","RXEF110","FUSRB508W52L1280T300H1750","73.9","31.05","Top","90.01","XF110","73.9","31.05","C3760872","","","",""
"F7","RXEF110","FUSRB508W52L1280T300H1750","69.9","31.05","Top","90.01","XF110","69.9","31.05","C3760872","","","",""
"F8","RXEF110","FUSRB508W52L1280T300H1750","26.297","57.1","Top","0.0","XF110","26.297","57.1","C3760872","","","",""
"F9","RXEF110","FUSRB508W52L1280T300H1750","26.25","82.1","Top","0.0","XF110","26.25","82.1","C3760872","","","",""
"F10","RXEF110","FUSRB508W52L1280T300H1750","65.9","31.05","Top","90.01","XF110","65.9","31.05","C3760872","","","",""
"F11","RXEF110","FUSRB508W52L1280T300H1750","26.25","89.35","Top","0.0","XF110","26.25","89.35","C3760872","","","",""
"F12","RXEF110","FUSRB508W52L1280T300H1750","26.297","64.35","Top","0.0","XF110","26.297","64.35","C3760872","","","",""
"J1","B3B-XH-A(LF)(SN)","SHDRV3W64P250_3X1_990X575H700","26.4","12.875","Top","180.0","RGB_LED","23.9","13.4","C144394","","","",""
