"#","RefDes","Quantity","Name","Value","Pattern","Manufacturer","MP","Package","Part Number (LCSC)","Part Number (Mouser)","Part Number (Digi-Key)","Datasheet","Number of Pins"
"118","U14, U15, U16, U17","4","MCP1416T-E/OT","","SOT23-5P95_270X145L35X35N_AD1","Microchip","","","C83775","579-MCP1416T-E/OT","MCP1416T-E/OTDKR-ND","http://datasheets.diptrace.com/microchip/22092c.pdf","5"
"119","U18, U40, U41","3","SN74HCT245DGSR","","TI_DGS0020A_N_N","Texas Instruments","","","C6489181","","","https://www.ti.com/lit/ds/symlink/sn74hct245.pdf?ts=1769901553397&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FSN74HCT245%252Fpart-details%252FSN74HCT245DGSR","20"
"120","U19","1","FE2.1-CQFP48A","","QFP48P50_900X900X160L60X22N","TERMINUS","","","","","","https://www.lcsc.com/datasheet/C39693.pdf","48"
"121","U20","1","LAN8742AI-CZ-TR","","QFN25P50_400X400X100L40X25T250N_AD1","Microchip","","","C621425","579-LAN8742AI-CZ-TR","LAN8742AI-CZ-TR-ND","http://datasheets.diptrace.com/microchip/8742a.pdf","25"
"122","U21","1","USBLC6-4SC6","","SOT23-6L","ST Microelectronics","LM61460AASQRJRRQ1","SOT-23-6 STMicroelectronics","","","","https://www.st.com/resource/en/datasheet/usblc6-4.pdf","6"
"123","U22, U23","2","TCAN1044AVDRBRQ1","","TI_DRB0008J_N","Texas Instruments","","","","","","https://www.ti.com/lit/ds/symlink/tcan1044a-q1.pdf","9"
"124","U24, U25","2","PCA9545APW,118","","SOP20P65_650X640X110L62X24N_AD1","Philips/NXP","","","C515584","","568-1865-6-ND","http://datasheets.diptrace.com/philips-nxp/PCA9545A_45B_45C.pdf","20"
"125","U26","1","MAX3490EESA+T","","SOIC8P127_490X600X175L83X42N_AD2","Maxim Integrated","","","C23404","700-MAX3490EESAT","MAX3490EESA+DKR-ND","http://datasheets.diptrace.com/maxim/MAX3483E-MAX3491E.pdf","8"
"126","U27, U28","2","XGZP6859D","","CF_XGZP6859D_N","CFSensor","","","","","","https://cfsensor.com/wp-content/uploads/2022/11/XGZP6859D-Pressure-Sensor-V3.0.pdf","6"
"127","U29","1","HX717","","SOIC16P127_990X600X180L66X43N","AVIA Semiconductor","","","","","","https://www.lcsc.com/datasheet/C575394.pdf","16"
"128","U30","1","SN74LV4052APWR","","SOP16P65_500X640X120L62X24N_AD3","Texas Instruments","","","C8142","","","http://datasheets.diptrace.com/ti/SNx4LV4052A.pdf","16"
"129","U31, U33, U34, U36","4","PS2801-1-A","","SOIC4P127_270X700X210L50X40N","NEC","","","","968-PS2801-1-A","","http://datasheets.diptrace.com/optoisolators/ps2801.pdf","4"
"130","U32, U35, U37, U38","4","XL-1615RGBC-2812B","RGB WS2812","XL-1615RGBC-WS2812B","XINGLIGHT","","","","","","https://datasheet.lcsc.com/lcsc/2301111010_XINGLIGHT-XL-1615RGBC-WS2812B_C5349954.pdf","4"
"131","U39","1","SN74LVC4245APWR","","SOP24P65_780X640X120L62X24N_AD1","Texas Instruments","","","C7859","","","http://datasheets.diptrace.com/ti/SN74LVC4245A.pdf","24"
"132","U42, U43, U44, U45, U46","5","AM26LV32IDR","","SOIC16P127_990X600X175L83X41N_AD4","Texas Instruments","","","C524786","595-AM26LV32CD","296-6794-5-ND","http://datasheets.diptrace.com/ti/AM26LV32C_32I.pdf","16"
"133","X1","1","NX2016SA-25MHZ-STD-CZS-2","25Mhz","NX2016SA","NDK","","","C843258","","","https://www.lcsc.com/datasheet/C843258.pdf","4"
"134","Y1","1","X503212MSB2GI","12Mhz","YANGXING_SMD_5032_2L","Yangxing Tech","","","C112573","","","https://www.lcsc.com/datasheet/C112573.pdf","2"
"","","454","","","","","","","","","","","2238"
