"RefDes","Manufacturer","Mpn","Place","PcbSide","X","Y","Rotation"
"R606","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","86.2","17.75","0"
"R607","UNI-ROYAL(Uniroyal Elec)","0402WGF4701TCE","true","Top","68.7","21.45","-90"
"R608","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","69.7","21.45","90"
"R609","UNI-ROYAL(Uniroyal Elec)","0402WGF4701TCE","true","Top","86.2","21.65","180"
"R610","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","86.2","20.7","0"
"R611","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Top","51.45","10.75","180"
"R612","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Top","63.55","10.75","0"
"S401","G-Switch","GT-TC031A-H020-L1N","true","Top","11.75","58","90.01"
"S402","G-Switch","GT-TC031A-H020-L1N","true","Top","11.75","50.5","90"
"S403","G-Switch","GT-TC031A-H020-L1N","true","Top","44.05","13.5","-90"
"S404","G-Switch","GT-TC031A-H020-L1N","true","Top","70.975","13.5","-90"
"S405","G-Switch","GT-TC031A-H020-L1N","true","Top","103.25","58","90"
"S406","G-Switch","GT-TC031A-H020-L1N","true","Top","103.25","50.5","90"
"U1","Texas Instruments","TPS3820-50DBVR","true","Top","12.6","36.725","90"
"U2","Texas Instruments","TPS62A02PDDCR","true","Top","14.1","29.7","0"
"U3","Texas Instruments","TPS62A02PDDCR","true","Top","14.1","21.4","0"
"U4","Texas Instruments","TPS62A02PDDCR","true","Top","14.1","13.1","0"
"U101","ST","STM32H725IGK6","true","Top","57.5","50","0"
"U102","Lattice","ICE40HX8K-CT256","true","Top","57.5","30","90"
"U103","WINBOND","W25Q16JVUXIQ","true","Top","72.85","32","-90"
"U104","Espressif Systems","ESP32-C3-MINI-1-H4","true","Top","96.85","30.25","-90"
"U301","Texas Instruments","SN3257QDYYRQ1","true","Top","74.5","47","0"
"U302","Texas Instruments","SN3257QDYYRQ1","true","Top","82.5","47","0"
"U303","Texas Instruments","SN3257QDYYRQ1","true","Top","32.5","47","180"
"U304","Texas Instruments","SN3257QDYYRQ1","true","Top","40.5","47","180"
"U601","Texas Instruments","TMUXHS221NKGR","true","Top","70.7","19.063","0"
"U602","Texas Instruments","TMUXHS221NKGR","true","Top","83.8","19.75","-90"
"Y101","HCI","8132H-50.000ML33DTL","true","Top","47.25","50","-90"
